entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2018-05-11,2018-05-25,BNO,stock,21.51,21.51,,1321.0,61.4034,-0.0,-0.0,10,0.76,trailing_stop
2018-05-11,2018-05-25,XOP,stock,140.67,140.67,,1321.0,9.3899,-0.0,-0.0,10,1.25,trailing_stop
2018-05-11,2018-05-29,SIE.DE,stock,82.72,80.47,,1321.0,15.9688,-35.8,-2.71,11,0.39,trailing_stop
2018-05-11,2018-06-25,NOW,stock,35.88,34.05,,1321.0,36.814,-67.3,-5.09,30,0.61,trailing_stop
2018-05-18,2018-08-07,TGT,option_us,5.41,8.14,58.29,1842.0,3.4,927.78,50.38,55,0.5,dte_exit
2018-05-24,2018-06-19,BMW.DE,stock,57.62,54.88,,1315.0,22.8307,-62.48,-4.75,18,0.0,trailing_stop
2018-05-28,2018-08-29,ITX.MC,stock,22.22,21.08,,1315.0,59.2088,-67.02,-5.09,67,1.37,trailing_stop
2018-05-30,2018-06-15,WEAT,stock,34.38,32.63,,1305.0,37.9594,-66.5,-5.09,12,0.48,trailing_stop
2018-05-31,2018-09-18,TLT,stock,97.64,94.79,,1305.0,13.3679,-38.06,-2.92,76,0.76,trailing_stop
2018-05-31,2018-10-03,IEF,stock,85.44,84.16,,1305.0,15.2762,-19.59,-1.5,87,0.97,trailing_stop
2018-06-04,2018-08-07,ADBE,option_us,20.42,17.4,240.21,1821.0,0.89,-268.53,-14.75,45,0.25,dte_exit
2018-06-15,2018-09-05,DIS,stock,102.88,105.31,,1294.0,12.5754,30.6,2.37,56,2.56,trailing_stop
2018-06-19,2018-09-10,UNH,stock,222.61,230.22,,1287.0,5.7835,43.97,3.42,57,2.51,trailing_stop
2018-06-25,2018-07-06,WBC.AX,stock,20.08,20.08,,1297.0,64.6052,-0.0,-0.0,9,0.35,trailing_stop
2018-06-25,2018-07-11,CBA.AX,stock,53.46,53.46,,1297.0,24.2642,-0.0,-0.0,12,0.98,trailing_stop
2018-07-09,2018-12-06,SAN.PA,stock,55.3,57.14,,1297.0,23.4597,43.32,3.34,108,3.08,trailing_stop
2018-07-16,2018-07-27,NOW,stock,38.43,38.43,,1297.0,33.7549,-0.0,-0.0,9,0.02,trailing_stop
2018-07-18,2018-10-11,JPM,stock,89.8,90.71,,1290.0,14.3692,12.99,1.01,60,1.82,trailing_stop
2018-07-27,2018-08-13,HON,stock,122.65,116.81,,1290.0,10.5205,-61.45,-4.76,11,0.05,trailing_stop
2018-08-07,2018-08-21,AVB,stock,139.81,139.81,,1356.0,9.7012,-0.0,-0.0,10,0.39,trailing_stop
2018-08-08,2018-08-23,TMUS,stock,62.86,62.86,,1356.0,21.5773,-0.0,-0.0,11,0.39,trailing_stop
2018-08-20,2018-09-21,WEC,stock,53.88,52.0,,1350.0,25.0576,-47.18,-3.49,23,0.45,trailing_stop
2018-08-21,2018-09-04,PSA,stock,162.06,154.86,,1350.0,8.3311,-59.99,-4.44,9,0.0,trailing_stop
2018-08-29,2018-11-06,GS,option_us,15.48,7.24,193.55,1881.0,1.22,-1000.69,-53.2,48,0.0,dte_exit
2018-08-31,2018-11-06,AMZN,option_us,8.3,2.08,95.33,1881.0,2.27,-1410.32,-74.98,46,0.11,dte_exit
2018-09-04,2018-09-17,XBI,stock,99.37,94.32,,1337.0,13.4592,-68.02,-5.09,9,0.0,trailing_stop
2018-09-11,2018-10-10,AVGO,stock,19.36,19.36,,1345.0,69.455,-0.0,-0.0,21,1.22,trailing_stop
2018-09-14,2018-10-04,TMUS,stock,66.0,66.0,,1345.0,20.3759,-0.0,-0.0,14,0.88,trailing_stop
2018-09-17,2018-09-28,PDD,stock,26.01,26.01,,1338.0,51.4536,-0.0,-0.0,9,0.18,trailing_stop
2018-09-18,2018-10-08,RTX,stock,68.3,68.37,,1334.0,19.5364,1.41,0.11,14,1.1,trailing_stop
2018-09-21,2018-10-08,RIO.AX,stock,46.29,46.29,,1330.0,28.7217,-0.0,-0.0,11,0.36,trailing_stop
2018-09-28,2018-10-11,EMB,stock,75.25,74.2,,1330.0,17.6695,-18.48,-1.39,9,0.0,trailing_stop
2018-10-03,2018-10-16,TMO,stock,244.12,231.68,,1328.0,5.4383,-67.64,-5.09,9,0.0,trailing_stop
2018-10-04,2018-10-29,UNG,stock,107.51,102.03,,1328.0,12.3491,-67.64,-5.1,17,0.47,trailing_stop
2018-10-10,2018-10-23,GE,stock,62.05,58.89,,1328.0,21.3983,-67.65,-5.1,9,0.0,trailing_stop
2018-10-11,2018-12-24,O,stock,39.05,42.57,,1327.0,33.9886,119.59,9.01,50,5.18,trailing_stop
2018-12-05,2018-12-18,TEF.MC,stock,4.95,4.95,,1066.0,215.2727,-0.0,-0.0,9,0.11,trailing_stop
2018-12-05,2018-12-18,IFX.DE,stock,17.1,16.23,,1066.0,62.3121,-54.3,-5.1,9,0.0,trailing_stop
2018-12-05,2018-12-18,ITX.MC,stock,21.41,20.32,,1066.0,49.7748,-54.3,-5.1,9,0.0,trailing_stop
2018-12-05,2018-12-19,ROG.SW,stock,198.28,188.18,,1066.0,5.3752,-54.3,-5.1,10,0.0,trailing_stop
2018-12-05,2018-12-21,OR.PA,stock,190.21,180.52,,1066.0,5.6034,-54.3,-5.09,12,0.0,trailing_stop
2018-12-06,2018-12-19,AMD,stock,20.24,19.21,,1070.0,52.8724,-54.52,-5.1,9,0.07,trailing_stop
2018-12-06,2018-12-19,UNH,stock,241.84,229.52,,1070.0,4.4251,-54.52,-5.1,9,0.0,trailing_stop
2018-12-06,2018-12-19,XEL,stock,42.31,40.62,,1070.0,25.2907,-42.94,-4.01,9,0.34,trailing_stop
2018-12-06,2018-12-24,ED,stock,63.49,60.9,,1070.0,16.8553,-43.67,-4.08,12,0.53,trailing_stop
2019-01-22,2019-02-07,CAT,stock,116.39,110.46,,1041.0,8.9425,-53.03,-5.09,12,0.21,trailing_stop
2019-01-22,2019-03-08,SPXL,stock,36.92,39.99,,1041.0,28.1907,86.47,8.31,32,2.15,trailing_stop
2019-01-23,2019-02-05,UNH,stock,237.17,237.17,,1041.0,4.3885,-0.0,-0.0,9,0.22,trailing_stop
2019-01-23,2019-02-07,TMO,stock,238.07,238.07,,1041.0,4.3719,-0.0,-0.0,11,0.38,trailing_stop
2019-01-23,2019-02-07,XLV,stock,79.6,79.6,,1041.0,13.076,-0.0,-0.0,11,0.37,trailing_stop
2019-01-23,2019-02-07,EWG,stock,22.28,22.28,,1041.0,46.7244,-0.0,-0.0,11,0.86,trailing_stop
2019-01-23,2019-02-15,DE,stock,144.41,144.41,,1041.0,7.2072,-0.0,-0.0,17,0.57,trailing_stop
2019-01-23,2019-05-07,TQQQ,stock,5.14,7.45,,1041.0,202.5812,468.72,45.03,72,5.02,trailing_stop
